id,temp_ambiente,umidade,carga_termica,setpoint,temp_fria,erro,peltier_pwm,fan_pwm,potencia_estimada,modo_operacao,estavel,temp_fria_prox
117,23.91,52.43,34.39,11.82,1.6,10.22,100.0,100.0,31.24,cooling,0,1.77
118,21.44,58.73,21.18,11.33,14.45,-3.12,52.71,69.03,17.24,heating,0,14.44
119,26.48,61.63,15.38,10.64,28.47,-17.83,37.33,54.91,10.55,heating,0,28.38
120,25.63,69.34,29.39,11.64,6.78,4.87,100.0,100.0,28.07,cooling,0,5.35
121,25.71,63.54,16.56,10.77,6.82,3.96,93.32,100.0,30.92,cooling,0,6.12
122,22.01,64.19,22.07,8.64,5.23,3.4,91.06,100.0,28.4,cooling,0,4.13
123,27.05,58.75,23.12,9.65,5.85,3.8,90.48,100.0,29.96,cooling,0,5.27
124,20.93,68.99,24.21,8.16,-13.44,21.6,100.0,100.0,30.23,cooling,0,-14.1
125,25.27,61.26,28.64,9.44,13.49,-4.06,44.49,58.03,13.87,heating,0,13.09
126,28.77,51.45,20.63,10.85,2.8,8.05,100.0,100.0,32.43,cooling,0,2.85
127,21.83,68.93,23.02,9.42,-3.74,13.16,100.0,100.0,32.46,cooling,0,-3.99
128,22.76,63.49,24.54,9.2,16.47,-7.27,37.33,54.91,13.79,heating,0,16.73
129,24.21,54.68,25.49,10.26,0.78,9.48,100.0,100.0,30.41,cooling,0,-0.55
130,22.89,54.4,25.19,11.38,7.13,4.24,94.84,100.0,30.68,cooling,0,6.53
131,20.61,60.39,27.17,8.06,22.57,-14.51,37.33,54.91,14.42,heating,0,22.64
132,24.14,61.68,29.55,9.42,-2.02,11.44,100.0,100.0,30.79,cooling,0,-1.74
133,21.67,59.62,26.91,8.51,-3.07,11.58,100.0,100.0,29.97,cooling,0,-4.35
134,25.02,60.5,27.27,10.67,12.33,-1.67,61.37,75.47,22.1,hold,0,11.8
135,21.99,71.22,15.38,8.3,19.86,-11.56,37.33,54.91,10.89,heating,0,20.04
136,27.37,66.37,24.91,10.54,-3.43,13.97,100.0,100.0,32.26,cooling,0,-3.91
137,22.28,59.57,27.42,9.02,13.52,-4.5,51.48,69.99,16.33,heating,0,12.72
138,23.29,65.37,28.88,8.67,15.0,-6.33,40.96,54.91,10.15,heating,0,13.98
139,25.76,50.13,20.58,11.63,-7.58,19.21,100.0,100.0,33.26,cooling,0,-8.38
140,21.31,61.17,20.77,7.94,16.86,-8.91,37.33,54.91,10.15,heating,0,15.73
141,24.49,72.07,21.27,9.63,17.52,-7.9,37.33,54.91,10.15,heating,0,17.32
142,26.84,56.42,27.75,7.96,7.36,0.59,66.41,79.43,21.98,hold,0,7.54
143,20.49,51.56,30.66,9.81,20.74,-10.92,37.33,56.0,13.25,heating,0,19.73
144,24.39,53.07,22.24,9.88,19.75,-9.86,37.33,54.91,10.92,heating,0,19.6
145,24.56,49.69,29.92,9.16,10.91,-1.75,64.57,73.93,20.67,hold,0,10.96
146,25.69,52.04,25.34,8.4,6.17,2.23,82.3,91.91,20.63,cooling,0,5.74
147,21.29,55.24,23.89,9.38,1.71,7.67,100.0,100.0,32.41,cooling,0,0.3
148,21.11,47.25,23.39,10.57,9.71,0.86,71.31,88.9,22.89,hold,0,9.42
149,25.13,58.22,28.98,11.02,14.9,-3.89,54.11,64.26,17.14,heating,0,14.54
150,24.64,65.07,26.52,10.0,7.26,2.75,84.54,100.0,26.4,cooling,0,6.68
151,24.54,51.09,37.91,10.24,-8.76,19.0,100.0,100.0,31.99,cooling,0,-9.37
152,24.75,69.83,19.64,8.68,20.88,-12.2,37.33,57.99,12.14,heating,0,20.62
153,22.51,62.04,27.65,9.03,11.66,-2.63,56.09,72.09,14.08,heating,0,11.57
154,24.5,66.06,21.53,8.52,6.78,1.74,84.24,100.0,30.67,hold,0,7.49
155,24.63,53.02,19.54,8.87,17.36,-8.49,37.33,54.91,14.6,heating,0,17.19
156,22.43,64.7,24.56,8.77,23.07,-14.29,37.33,58.63,10.15,heating,0,23.44
157,28.06,49.67,25.42,9.96,-13.93,23.88,100.0,100.0,30.31,cooling,0,-13.91
158,25.02,64.97,41.66,10.13,13.74,-3.61,62.03,74.23,19.14,heating,0,13.3
159,21.39,59.43,23.54,11.67,-2.17,13.84,100.0,100.0,33.16,cooling,0,-2.62
160,25.42,62.37,18.02,8.66,14.3,-5.64,40.16,59.69,10.15,heating,0,13.51
161,21.87,49.02,26.21,10.45,11.12,-0.67,69.09,90.71,20.73,hold,0,10.8
162,25.71,51.19,12.5,11.16,15.47,-4.31,52.27,67.64,13.16,heating,0,14.15
163,26.52,62.71,24.08,10.12,5.76,4.36,89.52,100.0,27.29,cooling,0,4.85
164,22.2,50.78,24.71,8.9,-5.99,14.88,100.0,100.0,30.05,cooling,0,-6.37
165,26.09,61.68,29.26,8.93,6.18,2.75,82.09,93.97,25.79,cooling,0,6.35
166,24.89,47.55,30.31,8.03,13.51,-5.48,46.19,65.62,13.65,heating,0,13.99
167,25.78,64.65,21.68,9.1,18.71,-9.61,37.33,54.91,10.7,heating,0,18.36
168,28.13,48.58,23.74,10.86,0.01,10.85,100.0,100.0,32.24,cooling,0,-0.35
169,23.46,62.36,20.15,8.06,18.81,-10.75,37.33,56.23,13.11,heating,0,19.02
170,22.35,62.93,18.03,8.75,4.49,4.26,87.2,100.0,28.26,cooling,0,3.31
171,22.05,52.72,26.43,10.71,13.13,-2.42,62.63,83.11,19.43,heating,0,12.88
172,22.21,62.59,17.18,11.02,5.67,5.35,96.33,100.0,28.76,cooling,0,4.62
173,23.82,60.11,22.2,9.7,11.59,-1.89,61.99,76.46,19.36,hold,0,11.13
174,24.73,53.94,18.81,10.68,17.66,-6.98,37.33,54.91,13.2,heating,0,17.19
175,24.59,50.31,27.83,9.43,-0.46,9.89,100.0,100.0,26.65,cooling,0,-0.74
176,25.79,42.95,35.14,8.51,4.22,4.3,88.44,100.0,28.32,cooling,0,4.04
177,24.02,60.8,17.02,9.47,11.61,-2.14,58.62,72.3,19.2,heating,0,11.72
178,27.16,46.02,13.8,10.2,30.56,-20.36,37.33,55.74,12.32,heating,0,30.3
179,23.41,58.84,23.89,11.68,2.65,9.03,100.0,100.0,30.7,cooling,0,2.15
180,29.92,56.07,24.71,8.15,27.47,-19.33,37.33,56.94,10.15,heating,0,28.08
181,25.35,63.34,25.9,9.91,27.17,-17.26,37.33,54.91,11.32,heating,0,26.0
182,22.12,55.77,22.01,9.19,9.2,-0.01,71.54,82.96,26.04,hold,1,9.59
183,21.66,55.56,23.45,9.91,7.48,2.43,76.95,91.32,24.11,cooling,0,6.85
184,25.04,63.75,26.77,7.97,4.11,3.85,91.11,100.0,27.72,cooling,0,3.91
185,23.5,60.69,30.7,9.13,9.45,-0.32,66.49,83.28,20.98,hold,0,8.9
186,25.55,60.54,13.2,11.17,-2.0,13.16,100.0,100.0,31.71,cooling,0,-2.8
187,25.02,61.72,22.47,10.1,9.38,0.72,73.38,90.26,24.33,hold,0,9.2
188,23.83,46.25,25.87,9.68,22.83,-13.15,37.33,54.91,11.74,heating,0,23.0
189,22.14,63.94,19.26,9.02,4.81,4.21,86.5,99.51,27.8,cooling,0,4.52
190,20.69,62.83,34.73,9.07,7.97,1.1,80.43,93.68,28.48,hold,0,7.15
191,23.02,50.25,20.91,9.41,-4.51,13.92,100.0,100.0,33.01,cooling,0,-3.16
192,25.86,56.22,24.38,11.23,13.23,-2.0,54.46,70.14,22.02,hold,0,13.54
193,24.46,57.8,27.87,11.76,12.29,-0.53,69.17,78.22,20.44,hold,0,12.31
194,21.27,57.06,21.17,9.63,10.57,-0.94,73.31,86.75,26.34,hold,0,9.88
195,24.37,60.68,13.84,9.45,8.18,1.28,74.61,89.9,21.8,hold,0,7.44
196,24.83,69.15,22.12,11.27,7.53,3.75,92.24,100.0,29.38,cooling,0,6.81
197,22.06,66.45,30.63,9.59,14.32,-4.74,51.69,69.78,17.97,heating,0,14.5
198,24.33,47.97,22.65,10.09,9.78,0.31,75.6,87.84,22.66,hold,0,8.82
199,24.12,62.9,19.68,8.8,12.72,-3.92,48.82,71.08,15.82,heating,0,11.93
200,21.5,68.36,30.03,10.86,11.87,-1.01,59.5,74.41,20.67,hold,0,11.74
201,24.77,61.09,22.69,10.01,19.64,-9.63,37.33,56.07,10.78,heating,0,19.52
202,25.21,66.52,21.64,11.12,15.82,-4.7,45.21,56.74,17.9,heating,0,15.17
203,26.35,73.63,25.49,11.01,11.68,-0.67,72.54,80.34,19.99,hold,0,10.7
204,26.29,66.0,29.12,8.73,23.01,-14.28,37.33,54.91,16.08,heating,0,23.42
205,20.99,60.02,38.53,10.75,13.62,-2.88,59.12,64.37,20.74,heating,0,13.36
206,21.95,66.17,29.45,11.09,21.19,-10.1,37.33,58.67,12.02,heating,0,20.15
207,25.11,59.22,31.39,9.26,15.22,-5.96,40.74,56.38,12.42,heating,0,14.36
208,25.11,58.28,21.67,8.56,-5.72,14.28,100.0,100.0,29.99,cooling,0,-6.28
209,25.11,55.39,18.63,7.88,21.19,-13.31,37.33,54.91,11.93,heating,0,21.26
210,32.39,70.17,24.98,9.68,11.19,-1.5,63.34,78.9,19.9,hold,0,11.27
211,25.23,51.78,25.25,9.29,9.59,-0.3,66.43,83.29,23.44,hold,0,9.8
212,26.47,69.93,18.32,10.1,12.44,-2.33,61.85,80.48,23.49,heating,0,11.35
213,26.07,61.96,23.6,8.63,7.08,1.55,78.9,93.03,25.07,hold,0,6.78
214,25.41,47.3,26.95,11.33,11.97,-0.65,67.06,79.42,19.43,hold,0,12.28
215,23.3,60.94,26.72,8.91,4.97,3.94,97.48,100.0,29.15,cooling,0,5.03
216,25.64,41.89,27.57,8.78,20.93,-12.14,37.33,54.91,11.83,heating,0,20.83
217,22.31,62.93,26.32,9.8,9.06,0.74,70.27,85.57,20.02,hold,0,9.8
218,23.47,64.93,21.66,9.88,6.76,3.12,85.15,100.0,24.19,cooling,0,6.55
219,22.93,53.53,21.62,8.73,2.12,6.61,100.0,100.0,35.19,cooling,0,2.06
220,24.17,59.05,17.62,8.96,12.33,-3.37,53.58,65.88,17.68,heating,0,12.05
221,29.04,73.19,35.04,8.55,11.63,-3.08,67.23,83.49,19.5,heating,0,10.92
222,19.92,54.2,24.7,10.76,13.35,-2.59,58.89,71.87,20.3,heating,0,12.46
223,25.49,49.93,23.31,10.97,1.25,9.72,100.0,100.0,28.64,cooling,0,0.82
224,20.47,69.54,19.2,9.73,-3.66,13.39,100.0,100.0,28.81,cooling,0,-4.28
225,22.96,73.25,41.76,10.74,15.38,-4.64,37.33,54.91,10.59,heating,0,14.27
226,26.36,58.13,18.35,10.83,22.72,-11.9,37.33,58.0,15.51,heating,0,21.91
227,24.13,65.91,22.12,8.43,1.25,7.17,95.92,100.0,29.27,cooling,0,0.59
228,21.64,68.46,27.05,11.75,23.62,-11.87,37.33,54.91,10.15,heating,0,23.57
229,22.43,52.37,28.13,11.17,12.46,-1.29,55.96,74.47,20.21,hold,0,12.09
230,25.47,54.35,30.21,8.69,9.97,-1.28,65.53,77.38,20.05,hold,0,9.59
231,22.4,67.6,35.18,8.62,6.63,1.99,79.94,92.86,21.28,hold,0,5.65
232,24.46,71.11,27.58,8.38,-1.81,10.18,100.0,100.0,30.37,cooling,0,-2.27
233,24.09,62.45,18.45,8.43,18.48,-10.05,37.33,55.15,13.24,heating,0,18.87
234,22.57,51.31,23.12,10.88,3.4,7.48,100.0,100.0,31.81,cooling,0,2.86
235,28.66,73.44,26.42,9.76,3.36,6.4,100.0,100.0,34.6,cooling,0,2.12
236,25.37,54.0,36.7,11.02,18.51,-7.49,42.14,58.93,11.94,heating,0,17.6
237,19.58,55.51,16.46,10.87,-6.07,16.94,100.0,100.0,31.09,cooling,0,-6.26
238,24.4,60.74,31.64,10.3,-3.0,13.3,100.0,100.0,29.6,cooling,0,-3.56
239,22.55,70.1,25.67,10.63,9.87,0.75,66.63,85.24,17.9,hold,0,9.42
240,25.85,64.69,29.51,7.94,12.54,-4.59,42.49,55.84,15.52,heating,0,12.07
241,22.26,61.3,24.02,9.12,14.17,-5.05,47.01,62.84,16.03,heating,0,14.12
242,23.74,61.68,19.7,10.43,7.45,2.98,90.29,100.0,28.65,cooling,0,6.72
243,25.09,58.44,29.01,7.91,31.66,-23.76,37.33,54.91,13.05,heating,0,31.07
244,25.88,62.41,28.44,8.0,8.08,-0.08,73.6,91.5,21.71,hold,1,7.28
245,21.37,38.57,30.3,11.29,8.06,3.24,89.73,100.0,25.91,cooling,0,7.89
246,23.26,55.81,24.54,10.62,3.22,7.4,100.0,100.0,31.08,cooling,0,2.51
247,22.95,59.96,21.12,8.94,11.09,-2.15,55.94,71.78,20.11,heating,0,11.07
248,22.57,49.21,15.52,10.64,15.29,-4.65,47.61,60.29,18.5,heating,0,14.36
249,27.84,61.08,29.41,11.06,20.32,-9.26,37.33,55.62,13.79,heating,0,20.96
250,24.87,56.52,27.1,9.1,-2.7,11.81,100.0,100.0,31.06,cooling,0,-2.51
251,21.24,71.65,18.98,8.01,7.93,0.09,72.09,86.03,23.17,hold,0,6.52
252,25.99,70.24,21.47,11.62,13.85,-2.23,67.25,83.33,21.2,heating,0,13.02
253,28.62,54.5,21.89,9.26,15.05,-5.79,37.33,54.91,10.15,heating,0,15.19
254,26.24,56.94,15.96,8.3,10.09,-1.79,63.47,80.76,20.09,hold,0,9.11
255,20.68,57.53,19.84,9.85,14.67,-4.82,53.3,63.75,14.32,heating,0,14.19
256,22.93,54.61,18.0,10.96,3.11,7.85,100.0,100.0,30.75,cooling,0,2.72
257,26.75,59.61,22.21,8.76,23.35,-14.59,37.33,54.91,15.47,heating,0,22.95
258,22.45,52.25,20.31,8.95,18.52,-9.56,37.33,56.41,13.84,heating,0,18.49
259,24.96,49.37,15.12,8.85,-1.47,10.31,100.0,100.0,29.15,cooling,0,-2.29
260,25.68,62.91,36.43,11.86,0.84,11.02,100.0,100.0,30.86,cooling,0,-0.79
261,21.97,62.96,31.93,8.66,1.08,7.58,100.0,100.0,29.33,cooling,0,0.99
262,23.86,51.89,20.07,10.18,15.83,-5.64,41.75,55.06,13.4,heating,0,16.06
263,16.92,65.01,26.21,11.59,-0.95,12.54,100.0,100.0,33.08,cooling,0,-0.35
264,21.76,53.22,27.06,8.46,7.2,1.26,82.46,100.0,27.04,hold,0,5.56
265,23.44,60.05,31.58,11.77,13.92,-2.14,65.38,78.52,25.58,heating,0,13.83
266,21.27,64.43,19.84,11.68,9.46,2.21,78.91,85.45,27.06,cooling,0,7.93
267,27.55,57.84,31.0,11.43,12.24,-0.82,64.06,78.42,20.63,hold,0,12.79
268,20.87,61.61,21.42,8.73,0.92,7.82,100.0,100.0,32.35,cooling,0,0.56
269,23.03,54.11,16.82,10.42,15.12,-4.7,46.77,61.03,14.63,heating,0,14.33
270,24.28,56.58,28.85,10.93,4.79,6.14,100.0,100.0,28.74,cooling,0,4.57
271,27.13,56.51,32.16,11.83,7.25,4.58,95.69,100.0,32.32,cooling,0,6.42
272,20.86,52.34,39.73,8.6,12.06,-3.47,51.8,69.77,18.56,heating,0,11.87
273,26.53,56.74,17.61,10.95,10.91,0.04,74.91,91.24,22.99,hold,0,10.58
274,24.01,46.14,28.7,9.23,10.24,-1.0,67.21,76.81,21.71,hold,0,10.71
275,21.85,54.31,22.23,8.58,3.61,4.96,91.78,100.0,31.02,cooling,0,3.97
276,25.0,55.9,29.19,9.56,7.47,2.1,87.15,100.0,28.84,cooling,0,6.65
277,24.42,56.12,16.03,11.06,10.05,1.01,68.27,84.39,18.56,hold,0,10.18
278,22.68,56.24,17.25,9.74,-1.73,11.47,100.0,100.0,31.49,cooling,0,-2.06
279,24.14,57.62,20.09,10.03,6.08,3.96,94.61,100.0,29.05,cooling,0,4.78
280,23.15,61.8,25.08,11.87,13.34,-1.47,59.01,75.26,20.93,hold,0,12.6
281,24.24,64.85,20.88,9.47,-0.89,10.37,100.0,100.0,33.06,cooling,0,-0.22
282,25.43,53.08,28.47,10.34,19.92,-9.57,37.33,54.91,14.84,heating,0,19.83
283,27.45,48.81,30.62,9.34,20.89,-11.55,37.33,54.91,10.15,heating,0,21.14
284,21.29,50.06,28.12,9.45,-0.62,10.07,100.0,100.0,29.43,cooling,0,-1.28
285,28.64,54.34,34.07,10.67,21.64,-10.97,37.33,54.91,14.43,heating,0,21.13
286,19.73,55.38,27.05,11.64,8.8,2.84,81.43,91.49,24.25,cooling,0,8.22
287,23.66,52.16,17.51,10.05,13.61,-3.56,63.72,80.01,17.07,heating,0,13.04
